# default static modifications for ms2_annotator	

#residue avg_mass mono_isotopic_mass
C_term	0	0		; avg.	15.9991	mono.	15.99492	
N_term	0	0		; avg.	2.0161	mono.	2.01565	
G	0	0		; avg.	57.0519	mono.	57.02146	
A	0	0		; avg.	71.0788	mono.	71.03711	
S	0	0		; avg.	87.0782	mono.	87.02303	
P	0	0		; avg.	97.1167	mono.	97.05276	
V	0	0		; avg.	99.1326	mono.	99.06841	
T	0	0		; avg.	101.1051	mono.	101.04768	
C	57.02146	57.02146; avg.	103.1388	mono.	103.00919	
L	0	0		; avg.	113.1594	mono.	113.08406	
I	0	0		; avg.	113.1594	mono.	113.08406	
N	0	0		; avg.	114.1038	mono.	114.04293	
D	0	0		; avg.	115.0886	mono.	115.02694	
Q	0	0		; avg.	128.1307	mono.	128.05858	
K	0	0		; avg.	128.1741	mono.	128.09496	
E	0	0		; avg.	129.1155	mono.	129.04259	
M	0	0		; avg.	131.1926	mono.	131.04049	
H	0	0		; avg.	137.1411	mono.	137.05891	
F	0	0		; avg.	147.1766	mono.	147.06841	
R	0	0		; avg.	156.1875	mono.	156.10111	
Y	0	0		; avg.	163.176	mono.	163.06333	
W	0	0		; avg.	186.2132	mono.	186.07931
U	0	0		; avg. 	150.95364	mono.	150.03900
O	0	0		; avg.	114.1472	mono.	114.07931
*	0	0		;
